,0_6.0_80
2021-03-09,22547.557106367873
2021-03-10,22174.740803179135
2021-03-11,21833.42581825933
2021-03-12,21518.767794672975
2021-03-13,21223.8482533638
2021-03-14,20947.534538997777
2021-03-15,20708.089228668618
2021-03-16,20518.37500437566
2021-03-17,20372.412444979676
2021-03-18,20267.38708980039
2021-03-19,20214.320409944674
2021-03-20,20201.177335157
2021-03-21,20218.62251343734
2021-03-22,20275.76538283509
2021-03-23,20375.01139354475
2021-03-24,20529.938945978836
2021-03-25,20752.100618156837
2021-03-26,21063.973036113763
2021-03-27,21459.54235590961
2021-03-28,21914.20959944785
2021-03-29,22429.751585647144
2021-03-30,23011.598151720922
2021-03-31,23657.766768044097
2021-04-01,24361.58856092268
2021-04-02,25122.81143664691
2021-04-03,25904.03357205245
2021-04-04,26692.88223874927
2021-04-05,27519.83715335339
2021-04-06,28398.33730794655
2021-04-07,29331.17197028723
2021-04-08,30315.59585550111
2021-04-09,31338.541217968712
2021-04-10,32380.09553368439
2021-04-11,33436.510693362965
2021-04-12,34527.86906243003
2021-04-13,35668.09409484065
2021-04-14,36859.345722569444
2021-04-15,38110.27374408394
2021-04-16,39426.609040298965
2021-04-17,40800.160396884436
2021-04-18,42208.388158354115
2021-04-19,43644.50595055989
2021-04-20,45123.03883227656
2021-04-21,46651.74641954794
2021-04-22,48221.29869679823
2021-04-23,49772.687484968425
2021-04-24,51269.58561214634
2021-04-25,52756.10741766496
2021-04-26,54255.56124670117
2021-04-27,55708.3489199827
2021-04-28,57095.662979274
2021-04-29,58429.22127549439
2021-04-30,59734.293910592554
2021-05-01,61063.25720530377
2021-05-02,62391.48673444495
2021-05-03,63635.17064770531
2021-05-04,64752.57876826935
2021-05-05,65755.71224073786
2021-05-06,66722.30226819732
2021-05-07,67711.07356335966
2021-05-08,68721.01354229674
2021-05-09,69785.75034930799
2021-05-10,71033.42130592806
2021-05-11,72553.54912677954
2021-05-12,74225.35072704611
2021-05-13,75858.40215172972
2021-05-14,77362.20111550186
2021-05-15,78701.51377924008
2021-05-16,79871.34138339896
2021-05-17,80689.54778736764
2021-05-18,81161.11364275934
2021-05-19,81431.83444390092
2021-05-20,81472.01462789273
2021-05-21,81297.67486191713
2021-05-22,80957.19695433819
2021-05-23,80465.72006379273
2021-05-24,79822.62218388414
2021-05-25,79032.04162795836
2021-05-26,78091.71400048374
2021-05-27,76994.36866968113
2021-05-28,75766.23768634995
2021-05-29,74462.34025954957
2021-05-30,73124.31714564875
2021-05-31,71728.85952635545
2021-06-01,70227.3039225772
2021-06-02,68649.46746234932
2021-06-03,67036.71141208199
2021-06-04,65372.681739183216
2021-06-05,63669.129829545345
2021-06-06,61958.57980890776
2021-06-07,60240.5132667243
2021-06-08,58524.90339712171
2021-06-09,56807.26600060498
2021-06-10,55089.258499176
2021-06-11,53395.40014696474
2021-06-12,51729.75485293241
