,0_6.0_80
2020-05-24,34.611605483278254
2020-05-25,33.667699655969045
2020-05-26,33.747040379355894
2020-05-27,35.85196608327533
2020-05-28,39.05696899459872
2020-05-29,42.982850894235526
2020-05-30,44.97427366416923
2020-05-31,45.16552597230111
2020-06-01,45.22273736919669
2020-06-02,43.807631387428046
2020-06-03,42.08428496697343
2020-06-04,41.12039670033664
2020-06-05,40.51986964671414
2020-06-06,38.93313127389774
2020-06-07,36.55526579475736
2020-06-08,34.915170925702114
2020-06-09,34.25018868198276
2020-06-10,34.950647094094165
2020-06-11,36.58208164618918
2020-06-12,38.284431984508046
2020-06-13,40.422356028064314
2020-06-14,43.16519215327389
2020-06-15,46.49920698477763
2020-06-16,49.476991892537626
2020-06-17,51.46840020665695
2020-06-18,52.802361346150064
2020-06-19,53.04469337800401
2020-06-20,51.783786668485845
2020-06-21,52.764275510597145
2020-06-22,55.96647915802714
2020-06-23,59.4340649637179
2020-06-24,64.92903723004201
2020-06-25,70.88509261272338
2020-06-26,75.60074053378412
2020-06-27,82.42915854386047
2020-06-28,91.22349681654305
2020-06-29,99.46837338662226
2020-06-30,109.62875084854568
2020-07-01,123.98521027866809
2020-07-02,141.05192575641195
2020-07-03,157.73317579554714
2020-07-04,171.39188064191694
2020-07-05,182.25935794229372
2020-07-06,194.52615178535416
2020-07-07,209.36464361832623
2020-07-08,227.35564099184558
2020-07-09,247.7057110534297
2020-07-10,267.93543113407213
2020-07-11,288.75511716754045
2020-07-12,305.8903445763717
2020-07-13,324.9114448188848
2020-07-14,351.40067710459334
2020-07-15,376.0957146704204
2020-07-16,403.4351455078904
2020-07-17,433.27449502350646
2020-07-18,460.61155782640344
2020-07-19,490.3432405348831
2020-07-20,527.3672706471334
2020-07-21,569.1600333595998
2020-07-22,608.7971724521922
2020-07-23,643.9260581765557
2020-07-24,674.8632527781156
2020-07-25,706.9601691889111
2020-07-26,748.1638286321722
2020-07-27,793.9916425313022
2020-07-28,809.5451561475311
2020-07-29,848.438737354667
2020-07-30,940.5575459668908
2020-07-31,1035.6083198062151
2020-08-01,1116.85235625528
2020-08-02,1178.7518055437504
2020-08-03,1206.4384458763452
2020-08-04,1223.7720321589586
2020-08-05,1236.7916486725808
2020-08-06,1239.0637708811846
2020-08-07,1247.4855102854417
2020-08-08,1218.6123603957094
2020-08-09,1173.6737894179387
2020-08-10,1141.0036937683763
2020-08-11,1102.2249397109772
2020-08-12,1070.460812544734
2020-08-13,1044.0256719921235
2020-08-14,1015.7053641312086
2020-08-15,983.1010326955511
2020-08-16,960.9793484765687
2020-08-17,953.2196181272375
2020-08-18,949.7698372825325
