,Base 1,Base 1 -30,Base 1 -20,Base 1 -10,Base 1 +10,Base 1 +20,Base 1 +30,Base 2 -30,Base 2 -20,Base 2 -10,Base 2,Base 3 -30,Base 3 -20,Base 3 -10,Base 3
2022-01-11,34.88777768149033,34.88777768149033,34.88777768149033,34.88777768149033,34.88777768149033,34.88777768149033,34.88777768149033,34.88777768149033,34.88777768149033,34.88777768149033,34.88777768149033,68.78874354798552,68.78874354798552,68.78874354798552,68.78874354798552
2022-01-12,36.530834663417956,36.530834663417956,36.530834663417956,36.530834663417956,36.530834663417956,36.530834663417956,36.530834663417956,36.530834663417956,36.530834663417956,36.530834663417956,36.530834663417956,78.15250231113944,78.15250231113944,78.15250231113944,78.15250231113944
2022-01-13,38.30279246457051,38.30279246457051,38.30279246457051,38.30279246457051,38.30279246457051,38.30279246457051,38.30279246457051,38.30279246457051,38.30279246457051,38.30279246457051,38.30279246457051,88.88833879268928,88.88833879268928,88.88833879268928,88.88833879268928
2022-01-14,40.20615906683586,40.20615906683586,40.20615906683586,40.20615906683586,40.20615906683586,40.20615906683586,40.20615906683586,40.20615906683586,40.20615906683586,40.20615906683586,40.20615906683586,101.18870572631073,101.18870572631073,101.18870572631073,101.18870572631073
2022-01-15,42.262319692937425,42.262319692937425,42.262319692937425,42.262319692937425,42.262319692937425,42.262319692937425,42.262319692937425,42.262319692937425,42.262319692937425,42.262319692937425,42.262319692937425,115.34703246953418,115.34703246953418,115.34703246953418,115.34703246953418
2022-01-16,44.507320149806745,44.507320149806745,44.507320149806745,44.507320149806745,44.507320149806745,44.507320149806745,44.507320149806745,44.507320149806745,44.507320149806745,44.507320149806745,44.507320149806745,131.76354925329315,131.76354925329315,131.76354925329315,131.76354925329315
2022-01-17,46.94027343072781,46.94027343072781,46.94027343072781,46.94027343072781,46.94027343072781,46.94027343072781,46.94027343072781,46.94027343072781,46.94027343072781,46.94027343072781,46.94027343072781,150.73402336705135,150.73402336705135,150.73402336705135,150.73402336705135
2022-01-18,49.555691481400935,49.555691481400935,49.555691481400935,49.555691481400935,49.555691481400935,49.555691481400935,49.555691481400935,49.555691481400935,49.555691481400935,49.555691481400935,49.555691481400935,172.57557992844397,172.57557992844397,172.57557992844397,172.57557992844397
2022-01-19,52.35157919375114,52.35157919375114,52.35157919375114,52.35157919375114,52.35157919375114,52.35157919375114,52.35157919375114,52.35157919375114,52.35157919375114,52.35157919375114,52.35157919375114,197.66434953891067,197.66434953891067,197.66434953891067,197.66434953891067
2022-01-20,55.33195543745126,55.33195543745126,55.33195543745126,55.33195543745126,55.33195543745126,55.33195543745126,55.33195543745126,55.33195543745126,55.33195543745126,55.33195543745126,55.33195543745126,226.4585839354138,226.4585839354138,226.4585839354138,226.4585839354138
2022-01-21,58.51413392729741,58.51413392729741,58.51413392729741,58.51413392729741,58.51413392729741,58.51413392729741,58.51413392729741,58.51413392729741,58.51413392729741,58.51413392729741,58.51413392729741,259.5631316964426,259.5631316964426,259.5631316964426,259.5631316964426
2022-01-22,61.94449762129842,61.94449762129842,61.94449762129842,61.94449762129842,61.94449762129842,61.94449762129842,61.94449762129842,61.94449762129842,61.94449762129842,61.94449762129842,61.94449762129842,297.8714387225497,297.8714387225497,297.8714387225497,297.8714387225497
2022-01-23,65.65326692943971,65.65326692943971,65.65326692943971,65.65326692943971,65.65326692943971,65.65326692943971,65.65326692943971,65.65326692943971,65.65326692943971,65.65326692943971,65.65326692943971,342.2995183865288,342.2995183865288,342.2995183865288,342.2995183865288
2022-01-24,69.63877988989891,69.62365447007514,69.63877988989891,69.63877988989891,69.63877988989891,69.63877988989891,69.63877988989891,69.6251669718977,69.63877988989891,69.63877988989891,69.63877988989891,393.52614267830614,393.65448409666163,393.65448409666163,393.65448409666163
2022-01-25,73.90356021893865,73.79835473562571,73.90356021893865,73.90356021893865,73.90356021893865,73.90356021893865,73.90356021893865,73.80887319467195,73.90356021893865,73.90356021893865,73.90356021893865,451.95445733750495,452.8938946328796,452.8938946328796,452.8938946328796
2022-01-26,78.45453662487283,78.13974367578989,78.45453662487283,78.45453662487283,78.45453662487283,78.45453662487283,78.45453662487283,78.17120323791345,78.45453662487283,78.45453662487283,78.45453662487283,518.1687959201221,521.1432684513851,521.1432684513851,521.1432684513851
2022-01-27,83.30535700862733,82.6326448119276,83.30535700862733,83.30535700862733,83.30535700862733,83.30535700862733,83.30535700862733,82.6998224433817,83.30535700862733,83.30535700862733,83.30535700862733,592.9911052123601,599.7462222521198,599.7462222521198,599.7462222521198
2022-01-28,88.47766258615628,87.27594089983897,88.47766258615628,88.47766258615628,88.47766258615628,88.47766258615628,88.47766258615628,87.39580684589336,88.47766258615628,88.47766258615628,88.47766258615628,677.451533352661,690.3187627236163,690.3187627236163,690.3187627236163
2022-01-29,94.01431856834733,92.09111630446105,94.01431856834733,94.01431856834733,94.01431856834733,94.01431856834733,94.01431856834733,92.2826408674779,94.01431856834733,94.01431856834733,94.01431856834733,772.9493318801894,794.9658612312192,794.9658612312192,794.9658612312192
2022-01-30,99.97302603729575,97.11347495539326,99.97302603729575,99.97302603729575,99.97302603729575,99.97302603729575,99.97302603729575,97.39766146917147,99.97302603729575,99.97302603729575,99.97302603729575,881.2241026234447,916.2996448402804,916.2996448402804,916.2996448402804
2022-01-31,106.36559547536996,102.3310130298551,106.36559547536996,106.36559547536996,106.36559547536996,106.36559547536996,106.36559547536996,102.73095746111241,106.36559547536996,106.36559547536996,106.36559547536996,1003.5772774552596,1056.6900274060513,1056.6900274060513,1056.6900274060513
2022-02-01,113.19962802065797,107.72538979791996,113.19962802065797,113.19962802065797,113.19962802065797,113.19962802065797,113.19962802065797,108.26639667347848,113.19962802065797,113.19962802065797,113.19962802065797,1141.3389342742412,1218.7764928619824,1218.7764928619824,1218.7764928619824
2022-02-02,120.47553603173886,113.26905003866112,120.47553603173886,120.47553603173886,120.47553603173886,120.47553603173886,120.47553603173886,113.97872253985979,120.47553603173886,120.47553603173886,120.47553603173886,1295.7794515646165,1405.4170437148578,1405.4170437148578,1405.4170437148578
2022-02-03,128.2071866647295,118.94526012379693,128.18043939481225,128.2071866647295,128.2071866647295,128.2071866647295,128.2071866647295,119.85363306390938,128.1831140508324,128.2071866647295,128.2071866647295,1468.4149023357518,1619.5472954948775,1620.053872674833,1620.053872674833
2022-02-04,136.42001049409077,124.74599757987386,136.2334796931437,136.42001049409077,136.42001049409077,136.42001049409077,136.42001049409077,125.88567279077587,136.25212907392577,136.42001049409077,136.42001049409077,1661.0016670421205,1863.0517876096433,1866.7688142281027,1866.7688142281027
2022-02-05,145.17789991258385,130.69663435638907,144.61810298143737,145.17789991258385,145.17789991258385,145.17789991258385,145.17789991258385,132.10311104583954,144.67404765753818,145.17789991258385,145.17789991258385,1876.1189064328462,2139.195228961209,2150.9951800745725,2150.9951800745725
2022-02-06,154.61817175736545,136.88694644299622,153.41778988683444,154.61817175736545,154.61817175736545,154.61817175736545,154.61817175736545,138.59930964108165,153.53766156561443,154.61817175736545,154.61817175736545,2118.0296577115396,2453.7107319144575,2480.5872063711413,2480.5872063711413
2022-02-07,164.7739872928775,143.30452080622723,162.6216959058814,164.7739872928775,164.7739872928775,164.7739872928775,164.7739872928775,145.36502861462642,162.83637867386835,164.7739872928775,164.7739872928775,2389.107893785751,2810.671338551602,2862.015071528118,2862.015071528118
2022-02-08,175.6688142542249,149.9239795237212,172.2112243103573,175.6688142542249,175.6688142542249,175.6688142542249,175.6688142542249,152.37813397697184,172.5555594159898,175.6688142542249,175.6688142542249,2691.606856423506,3214.2959852927297,3302.3728708663616,3302.3728708663616
2022-02-09,187.33645807051255,156.72577926795287,182.17634092029454,187.33645807051255,187.33645807051255,187.33645807051255,187.33645807051255,159.62248568079173,182.68917809653226,187.33645807051255,187.33645807051255,3028.0244719250836,3669.2987608291764,3809.8796785878735,3809.8796785878735
2022-02-10,199.8238495125961,163.69835570798696,192.51642587546257,199.8238495125961,199.8238495125961,199.8238495125961,199.8238495125961,167.0901082178132,193.240841665093,199.8238495125961,199.8238495125961,3401.1663125898012,4180.943419178325,4394.0747298111455,4394.0747298111455
