ダウンロードした時刻：2021/12/01 14:19:26

,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
2020/10/9,14.5,8,1,99,8,1
2020/10/10,16.0,8,1,100,8,1
2020/10/11,19.8,8,1,91,8,1
2020/10/12,21.5,8,1,87,8,1
2020/10/13,22.1,8,1,79,8,1
2020/10/14,20.3,8,1,67,8,1
2020/10/15,16.8,8,1,83,8,1
2020/10/16,16.1,8,1,59,8,1
2020/10/17,12.7,8,1,93,8,1
2020/10/18,14.3,8,1,83,8,1
2020/10/19,13.1,8,1,89,8,1
2020/10/20,15.6,8,1,75,8,1
2020/10/21,16.0,8,1,69,8,1
2020/10/22,17.4,8,1,70,8,1
2020/10/23,16.8,8,1,93,8,1
2020/10/24,17.3,8,1,56,8,1
2020/10/25,15.5,8,1,55,8,1
2020/10/26,16.2,8,1,65,8,1
2020/10/27,16.7,8,1,65,8,1
2020/10/28,16.6,8,1,73,8,1
2020/10/29,17.3,8,1,55,8,1
2020/10/30,14.9,8,1,47,8,1
2020/10/31,13.8,8,1,54,8,1
2020/11/1,14.3,8,1,69,8,1
2020/11/2,15.6,8,1,78,8,1
2020/11/3,14.8,8,1,92,8,1
2020/11/4,13.7,8,1,47,8,1
2020/11/5,13.4,8,1,56,8,1
2020/11/6,12.8,5,1,67,5,1
2020/11/7,15.5,8,1,77,8,1
2020/11/8,17.3,8,1,75,8,1
2020/11/9,13.5,8,1,44,8,1
2020/11/10,11.9,8,1,50,8,1
2020/11/11,11.9,8,1,48,8,1
2020/11/12,10.2,8,1,63,8,1
2020/11/13,13.7,8,1,67,8,1
2020/11/14,14.7,8,1,56,8,1
2020/11/15,13.4,8,1,65,8,1
2020/11/16,14.7,8,1,66,8,1
2020/11/17,15.2,8,1,62,8,1
2020/11/18,15.8,8,1,77,8,1
2020/11/19,19.1,8,1,74,8,1
2020/11/20,21.9,8,1,73,8,1
2020/11/21,16.6,8,1,46,8,1
2020/11/22,15.0,8,1,66,8,1
2020/11/23,15.5,8,1,54,8,1
2020/11/24,11.8,8,1,56,8,1
2020/11/25,10.5,8,1,94,8,1
2020/11/26,12.8,8,1,81,8,1
2020/11/27,11.6,8,1,78,8,1
2020/11/28,11.8,8,1,56,8,1
2020/11/29,10.1,8,1,56,8,1
2020/11/30,9.9,8,1,69,8,1
2020/12/1,10.2,8,1,66,8,1
2020/12/2,8.2,8,1,81,8,1
2020/12/3,8.1,8,1,91,8,1
2020/12/4,9.2,8,1,61,8,1
2020/12/5,6.6,8,1,86,8,1
2020/12/6,8.2,8,1,80,8,1
2020/12/7,9.7,8,1,71,8,1
2020/12/8,11.4,8,1,66,8,1
2020/12/9,9.8,8,1,61,8,1
2020/12/10,9.3,8,1,72,8,1
2020/12/11,10.2,8,1,76,8,1
2020/12/12,11.4,8,1,70,8,1
2020/12/13,9.9,8,1,72,8,1
2020/12/14,8.5,8,1,62,8,1
2020/12/15,6.1,8,1,45,8,1
2020/12/16,4.6,8,1,43,8,1
2020/12/17,4.3,8,1,42,8,1
2020/12/18,6.1,8,1,52,8,1
2020/12/19,5.8,8,1,48,8,1
2020/12/20,4.4,8,1,45,8,1
2020/12/21,5.3,8,1,40,8,1
2020/12/22,5.6,8,1,61,8,1
2020/12/23,7.7,8,1,54,8,1
2020/12/24,8.0,8,1,56,8,1
2020/12/25,8.7,8,1,49,8,1
2020/12/26,6.4,8,1,51,8,1
2020/12/27,7.8,8,1,59,8,1
2020/12/28,8.5,8,1,72,8,1
2020/12/29,8.7,8,1,66,8,1
2020/12/30,6.9,8,1,68,8,1
2020/12/31,3.4,8,1,34,8,1
2021/1/1,4.4,8,1,40,8,1
2021/1/2,4.8,8,1,53,8,1
2021/1/3,3.7,8,1,52,8,1
2021/1/4,5.8,8,1,52,8,1
2021/1/5,6.0,8,1,67,8,1
2021/1/6,5.3,8,1,73,8,1
2021/1/7,6.3,8,1,47,8,1
2021/1/8,2.4,8,1,42,8,1
2021/1/9,2.9,8,1,31,8,1
2021/1/10,2.6,8,1,44,8,1
2021/1/11,2.3,8,1,47,8,1
2021/1/12,3.4,8,1,68,8,1
2021/1/13,5.8,8,1,64,8,1
2021/1/14,7.9,8,1,55,8,1
2021/1/15,6.6,8,1,68,8,1
2021/1/16,10.0,8,1,61,8,1
2021/1/17,6.1,8,1,52,8,1
2021/1/18,4.3,8,1,67,8,1
2021/1/19,4.4,8,1,40,8,1
2021/1/20,3.9,8,1,41,8,1
2021/1/21,4.8,8,1,53,8,1
2021/1/22,8.7,8,1,48,8,1
2021/1/23,6.4,8,1,85,8,1
2021/1/24,4.3,8,1,95,8,1
2021/1/25,7.6,8,1,74,8,1
2021/1/26,7.5,8,1,73,8,1
2021/1/27,10.3,8,1,68,8,1
2021/1/28,4.4,8,1,78,8,1
2021/1/29,5.3,8,1,54,8,1
2021/1/30,4.1,8,1,36,8,1
2021/1/31,5.4,8,1,42,8,1
2021/2/1,7.2,8,1,57,8,1
2021/2/2,8.8,8,1,67,8,1
2021/2/3,6.2,8,1,42,8,1
2021/2/4,7.0,8,1,42,8,1
2021/2/5,7.1,8,1,53,8,1
2021/2/6,8.9,8,1,55,8,1
2021/2/7,9.9,8,1,49,8,1
2021/2/8,6.1,8,1,41,8,1
2021/2/9,4.7,8,1,32,8,1
2021/2/10,6.7,8,1,48,8,1
2021/2/11,8.7,8,1,44,8,1
2021/2/12,7.8,8,1,56,8,1
2021/2/13,10.4,8,1,66,8,1
2021/2/14,12.3,8,1,64,8,1
2021/2/15,11.4,8,1,91,8,1
2021/2/16,10.6,8,1,38,8,1
2021/2/17,7.6,8,1,37,8,1
2021/2/18,4.3,8,1,35,8,1
2021/2/19,6.9,8,1,41,8,1
2021/2/20,10.2,8,1,47,8,1
2021/2/21,13.9,8,1,56,8,1
2021/2/22,14.9,8,1,53,8,1
2021/2/23,11.0,8,1,39,8,1
2021/2/24,6.4,8,1,34,8,1
2021/2/25,6.6,8,1,45,8,1
2021/2/26,8.7,8,1,43,8,1
2021/2/27,5.7,8,1,38,8,1
2021/2/28,6.6,8,1,54,8,1
2021/3/1,11.8,8,1,64,8,1
2021/3/2,13.5,8,1,82,8,1
2021/3/3,7.4,8,1,43,8,1
2021/3/4,9.0,8,1,60,8,1
2021/3/5,11.8,8,1,78,8,1
2021/3/6,13.8,8,1,70,8,1
2021/3/7,7.8,8,1,56,8,1
2021/3/8,6.6,8,1,87,8,1
2021/3/9,9.6,8,1,70,8,1
2021/3/10,12.0,8,1,45,8,1
2021/3/11,9.9,8,1,52,8,1
2021/3/12,12.7,8,1,63,8,1
2021/3/13,11.1,8,1,95,8,1
2021/3/14,12.5,8,1,46,8,1
2021/3/15,12.9,8,1,34,8,1
2021/3/16,14.5,8,1,46,8,1
2021/3/17,13.7,8,1,38,8,1
2021/3/18,12.3,8,1,49,8,1
2021/3/19,12.9,8,1,57,8,1
2021/3/20,14.1,8,1,68,8,1
2021/3/21,16.7,8,1,95,8,1
2021/3/22,12.1,8,1,54,8,1
2021/3/23,10.8,8,1,46,8,1
2021/3/24,13.8,8,1,61,8,1
2021/3/25,14.5,8,1,76,8,1
2021/3/26,14.5,8,1,42,8,1
2021/3/27,13.7,8,1,49,8,1
2021/3/28,16.5,8,1,80,8,1
2021/3/29,17.5,8,1,84,8,1
2021/3/30,17.8,8,1,76,8,1
2021/3/31,17.9,8,1,54,8,1
2021/4/1,16.6,8,1,61,8,1
2021/4/2,16.0,8,1,63,8,1
2021/4/3,16.9,8,1,63,8,1
2021/4/4,18.5,8,1,75,8,1
2021/4/5,12.9,8,1,89,8,1
2021/4/6,10.6,8,1,65,8,1
2021/4/7,13.3,8,1,59,8,1
2021/4/8,13.3,8,1,65,8,1
2021/4/9,11.9,8,1,46,8,1
2021/4/10,10.4,8,1,42,8,1
2021/4/11,12.5,8,1,58,8,1
2021/4/12,14.4,8,1,60,8,1
2021/4/13,15.7,8,1,79,8,1
2021/4/14,15.3,8,1,96,8,1
2021/4/15,10.7,8,1,53,8,1
2021/4/16,13.7,8,1,64,8,1
2021/4/17,15.7,8,1,80,8,1
2021/4/18,16.4,8,1,51,8,1
2021/4/19,15.8,8,1,41,8,1
2021/4/20,17.2,8,1,52,8,1
2021/4/21,19.1,8,1,35,8,1
2021/4/22,18.1,8,1,32,8,1
2021/4/23,13.8,8,1,52,8,1
2021/4/24,15.3,8,1,57,8,1
2021/4/25,16.9,8,1,58,8,1
2021/4/26,13.4,8,1,35,8,1
2021/4/27,14.6,8,1,54,8,1
2021/4/28,18.2,8,1,63,8,1
2021/4/29,17.2,8,1,91,8,1
2021/4/30,18.8,8,1,64,8,1
2021/5/1,17.7,8,1,73,8,1
2021/5/2,16.3,8,1,66,8,1
2021/5/3,16.4,8,1,42,8,1
2021/5/4,18.0,8,1,52,8,1
2021/5/5,18.3,8,1,72,8,1
2021/5/6,18.5,8,1,75,8,1
2021/5/7,17.5,8,1,83,8,1
2021/5/8,19.5,8,1,71,8,1
2021/5/9,23.0,8,1,56,8,1
2021/5/10,20.2,8,1,43,8,1
2021/5/11,17.5,8,1,58,8,1
2021/5/12,17.9,8,1,56,8,1
2021/5/13,16.1,8,1,94,8,1
2021/5/14,20.8,8,1,77,8,1
2021/5/15,21.2,8,1,72,8,1
2021/5/16,20.0,8,1,82,8,1
2021/5/17,23.0,8,1,88,8,1
2021/5/18,20.5,8,1,90,8,1
2021/5/19,17.2,8,1,98,8,1
2021/5/20,19.1,8,1,93,8,1
2021/5/21,21.7,8,1,92,8,1
2021/5/22,20.0,8,1,83,8,1
2021/5/23,19.6,8,1,77,8,1
2021/5/24,22.1,8,1,65,8,1
2021/5/25,22.4,8,1,66,8,1
2021/5/26,21.1,8,1,61,8,1
2021/5/27,16.9,8,1,94,8,1
2021/5/28,20.5,8,1,75,8,1
2021/5/29,22.8,8,1,67,8,1
2021/5/30,21.2,8,1,71,8,1
2021/5/31,20.6,8,1,68,8,1
2021/6/1,20.1,8,1,74,8,1
2021/6/2,22.0,8,1,70,8,1
2021/6/3,22.1,8,1,73,8,1
2021/6/4,21.0,8,1,97,8,1
2021/6/5,22.1,8,1,77,8,1
2021/6/6,21.7,8,1,83,8,1
2021/6/7,23.4,8,1,71,8,1
2021/6/8,24.8,8,1,64,8,1
2021/6/9,24.5,8,1,55,8,1
2021/6/10,24.1,8,1,64,8,1
2021/6/11,23.7,8,1,68,8,1
2021/6/12,23.3,8,1,73,8,1
2021/6/13,24.3,8,1,68,8,1
2021/6/14,21.0,8,1,92,8,1
2021/6/15,23.4,8,1,80,8,1
2021/6/16,22.2,8,1,87,8,1
2021/6/17,21.8,8,1,77,8,1
2021/6/18,22.8,8,1,69,8,1
2021/6/19,20.3,8,1,95,8,1
2021/6/20,22.8,8,1,85,8,1
2021/6/21,22.9,8,1,74,8,1
2021/6/22,23.1,8,1,76,8,1
2021/6/23,22.0,8,1,82,8,1
2021/6/24,22.8,8,1,78,8,1
2021/6/25,23.3,8,1,79,8,1
2021/6/26,24.2,8,1,74,8,1
2021/6/27,23.7,8,1,78,8,1
2021/6/28,24.4,8,1,73,8,1
2021/6/29,21.9,8,1,90,8,1
2021/6/30,20.6,8,1,91,8,1
2021/7/1,20.9,8,1,98,8,1
2021/7/2,21.2,8,1,100,8,1
2021/7/3,22.2,8,1,92,8,1
2021/7/4,20.1,8,1,98,8,1
2021/7/5,22.1,8,1,96,8,1
2021/7/6,24.7,8,1,91,8,1
2021/7/7,25.8,8,1,85,8,1
2021/7/8,23.7,8,1,93,8,1
2021/7/9,23.5,8,1,100,8,1
2021/7/10,27.0,8,1,86,8,1
2021/7/11,24.7,8,1,91,8,1
2021/7/12,25.8,8,1,82,8,1
2021/7/13,25.5,8,1,81,8,1
2021/7/14,25.3,8,1,82,8,1
2021/7/15,26.4,8,1,80,8,1
2021/7/16,27.7,8,1,77,8,1
2021/7/17,27.4,8,1,74,8,1
2021/7/18,28.1,8,1,76,8,1
2021/7/19,29.2,8,1,75,8,1
2021/7/20,28.8,8,1,72,8,1
2021/7/21,28.4,8,1,70,8,1
2021/7/22,28.4,8,1,69,8,1
2021/7/23,28.4,8,1,71,8,1
2021/7/24,28.5,8,1,72,8,1
2021/7/25,28.5,8,1,70,8,1
2021/7/26,27.5,8,1,66,8,1
