,sum_I_new,max_I_now
scenario_1940,5889366.232456622,1510858.5672379504
scenario_1941,1319009.1614437213,268264.064176353
scenario_1942,1717969.5959516242,370693.4633935474
scenario_1943,5889366.232456622,1510858.5672379504
scenario_1944,6587333.566918162,1692262.2292761994
scenario_1945,2585170.023724734,573286.8648370993
scenario_1946,1920022.3418637011,424855.6945474606
scenario_1947,339480.7825608515,50015.09163444117
scenario_1948,438244.21132018924,54142.57955041143
scenario_1949,710699.0340073539,121971.71005978902
scenario_1950,992672.6040851916,168779.0022776623
scenario_1951,1741594.6037501502,351616.5733716174
scenario_1952,1539741.4125314741,309641.50138171774
scenario_1953,731587.2520515753,99654.9683158675
scenario_1954,641599.8399406001,78034.88323112125
scenario_1955,1007860.4483169427,176563.644199539
scenario_1956,1106107.3290379618,193910.67301950592
scenario_1957,2238831.257279512,505463.3763976882
scenario_1958,2954566.343797322,702032.9874770397
scenario_1959,2226721.083401017,505463.3763976882
scenario_1960,2362761.974520435,538618.9653481584
scenario_1961,4314228.954384418,1076591.6217036266
scenario_1962,2744351.4251865325,642491.9819196935
scenario_1963,2370149.9746868555,538618.9653481584
scenario_1964,2340878.7294781995,532777.2826377522
scenario_1965,2724420.603103424,636177.390233622
scenario_1966,4292803.16103456,1070164.4355205016
scenario_1967,4738300.433418222,1191547.7998912365
scenario_1968,4763522.365991115,1198062.5311777631
scenario_1969,4738975.255137332,1191547.7998912365
scenario_1970,2983981.0743114688,744253.2425273584
scenario_1971,330426.4787831469,62665.54861552799
scenario_1972,3170553.6546079996,796262.4499065632
scenario_1973,2988282.3570832466,744253.2425273584
scenario_1974,2969191.16816757,740285.4131309094
scenario_1975,3158457.871451837,792244.3325597162
scenario_1976,336985.932218122,62637.678708749634
scenario_1977,341600.2974440738,63396.20890449842
scenario_1978,351452.3398097443,63423.007682389725
scenario_1979,349547.2444691606,63396.20890449842
scenario_1980,2929623.275650998,670744.9462021934
scenario_1981,1880035.608825401,391533.61493258766
scenario_1982,2063631.8974040628,435282.08797751984
scenario_1983,2792724.404146959,656034.2921048064
scenario_1984,2178753.740483249,474114.9631625722
scenario_1985,1041057.4736564034,165934.4979111298
scenario_1986,1075628.2543419197,185555.03169046692
scenario_1987,949427.1249914872,150742.67664374117
scenario_1988,941375.3269244872,147456.4374591278
scenario_1989,620290.9308165114,79058.12935724117
scenario_1990,325434.11801742896,55808.31573622749
scenario_1991,2819845.4715495612,691233.0084800721
scenario_1992,542745.1388979906,65654.98458578179
scenario_1993,283290.13964058325,55808.31573622749
scenario_1994,468739.8499778738,57232.56420026846
scenario_1995,786164.5384416257,125400.5506840042
scenario_1996,3337420.6578214043,833711.1727858322
scenario_1997,5765535.589089885,1495604.2803397474
scenario_1998,5132164.539305582,1334426.66658187
scenario_1999,5764798.741870505,1495604.2803397474
scenario_2000,2514116.069575271,581679.7949950609
scenario_2001,3409369.4986814857,821861.9441746557
scenario_2002,760947.1271649168,109245.40265759094
scenario_2003,2514105.6403577346,581679.7949950609
scenario_2004,3287059.3175887135,788679.1315226321
scenario_2005,1041480.7568935885,181727.78435091008
scenario_2006,4230687.240994271,1041571.130894552
scenario_2007,1591961.1378887028,318199.60269329016
scenario_2008,1078607.408519115,186737.757601582
scenario_2009,1529891.304605251,304930.15775107325
scenario_2010,2656889.4828155222,626384.6878695606
scenario_2011,4145043.228466884,1049934.470250222
scenario_2012,1609310.267584098,326426.3483298324
scenario_2013,2653173.844846404,626384.6878695606
scenario_2014,2040768.242745977,460335.34135933424
scenario_2015,1174550.2391275861,215910.8130461534
scenario_2016,3483258.5872112126,876064.3907948673
scenario_2017,2253998.259774948,529854.1484876781
scenario_2018,2792646.542971113,674973.0298408031
scenario_2019,2245286.046032242,529854.1484876781
scenario_2020,6546385.568953442,1717780.1111923214
scenario_2021,3014351.278811987,721323.7163920223
scenario_2022,4639200.982753718,1203434.9762685483
scenario_2023,6546385.568953442,1717780.1111923214
scenario_2024,6529950.905413447,1713732.6914963936
scenario_2025,4613378.348808361,1199051.9378420894
scenario_2026,2991330.2448565345,715596.9142163192
scenario_2027,1510002.056848905,298070.53755403176
scenario_2028,1500342.409092685,300829.38726068346
scenario_2029,1486661.8655654723,297164.0833168753
scenario_2030,973215.9352251762,155144.12344279326
scenario_2031,420201.04704502475,57523.6962817826
scenario_2032,4371632.577679993,1080651.5249937302
scenario_2033,959498.64555908,154092.615545392
scenario_2034,960964.2769970344,151957.17272221678
scenario_2035,4340976.552907666,1072525.399253621
scenario_2036,393765.6217555714,57470.72091323856
scenario_2037,2360571.4197011376,543271.3728594806
